cat_traveller_id,cat_traveller,traveller_cat,country_res_id,country_res_name,adjustment_type_id,adjustment_type,frequency_id,frequency,time_period,observation_value,unit_measurement_id,unit_measurement,table
6,Short-term (less than one year) Visitors arriving,Visitors arriving,7105,Nepal,10,Original,M,Monthly,2023-04,3860,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,1301,New Caledonia,10,Original,M,Monthly,2023-04,2610,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,1302,Papua New Guinea,10,Original,M,Monthly,2023-04,4270,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,2303,France,10,Original,M,Monthly,2023-04,6350,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,7105,Nepal,10,Original,M,Monthly,2023-04,4220,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,1301,New Caledonia,10,Original,M,Monthly,2023-04,3370,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,3104,Italy,10,Original,M,Monthly,2023-04,3240,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,3308,Russian Federation,10,Original,M,Monthly,2023-04,750,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,8205,Colombia,10,Original,M,Monthly,2023-04,3140,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,2304,Germany,10,Original,M,Monthly,2023-04,4290,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,2407,Sweden,10,Original,M,Monthly,2023-04,740,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,5104,Thailand,10,Original,M,Monthly,2023-04,45860,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,6201,Japan,10,Original,M,Monthly,2023-04,58410,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,7106,Pakistan,10,Original,M,Monthly,2023-04,2300,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,2403,Finland,10,Original,M,Monthly,2023-04,630,NUM,Number,sc
