cat_traveller_id,cat_traveller,traveller_cat,duration_id,duration_stay,duration_around,reason_id,reason_journey,adjustment_type_id,adjustment_type,frequency_id,frequency,time_period,observation_value,unit_measurement_id,unit_measurement,table
5,Short-term (less than one year) Residents returning,Residents returning,TOT,Total,,7,Employment,10,Original,M,Monthly,2018-03,15340,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,1W,Under 1 week,3,TOT,Total,10,Original,M,Monthly,2018-03,253710,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,2W,1 and under 2 weeks,10,TOT,Total,10,Original,M,Monthly,2018-03,244570,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,TOT,Total,,8,Education,10,Original,M,Monthly,2018-03,49290,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,TOT,Total,,TOT,Total,10,Original,M,Monthly,2018-03,740730,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,TOT,Total,,H,Holiday,10,Original,M,Monthly,2018-03,385820,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,2W,1 and under 2 weeks,10,TOT,Total,10,Original,M,Monthly,2018-03,264160,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,TOT,Total,,2,Convention/conference,10,Original,M,Monthly,2018-03,24040,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,2M,1 and under 2 months,45,TOT,Total,10,Original,M,Monthly,2018-03,68130,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,6M,3 and under 6 months,120,TOT,Total,10,Original,M,Monthly,2018-03,19730,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,TOT,Total,,O,Other & not stated,10,Original,M,Monthly,2018-03,21760,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,TOT,Total,,O,Other & not stated,10,Original,M,Monthly,2018-03,29400,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,3M,2 and under 3 months,75,TOT,Total,10,Original,M,Monthly,2018-03,27700,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,TOT,Total,,2,Convention/conference,10,Original,M,Monthly,2018-03,27530,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,TOT,Total,,3,Business,10,Original,M,Monthly,2018-03,65370,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,1M,2 weeks and under 1 month,21,TOT,Total,10,Original,M,Monthly,2018-03,179800,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,2M,1 and under 2 months,45,TOT,Total,10,Original,M,Monthly,2018-03,65500,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,TOT,Total,,5,Visiting friends/relatives,10,Original,M,Monthly,2018-03,190510,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,6M,3 and under 6 months,120,TOT,Total,10,Original,M,Monthly,2018-03,49730,NUM,Number,rs
